CD,ºÐ±âÆò±ÕÃÑ»ýÈ°ÀÎ±¸¼ö
11110515.0,15864.541188245223
11110530.0,24295.06739264636
11110540.0,5840.574721093191
11110550.0,15173.042704154717
11110560.0,19270.383779864096
11110570.0,7122.286909244324
11110580.0,6723.469697895758
11110600.0,7313.242908357228
11110615.0,58693.10885894116
11110630.0,17752.181832450715
11110640.0,23032.03808010006
11110650.0,29071.12812492682
11110670.0,9766.071133609617
11110680.0,10132.835995746713
11110690.0,4739.573041375448
11110700.0,7856.580137928613
11110710.0,14877.76920037037
11140520.0,24718.08863448925
11140540.0,25170.767942426824
11140550.0,29899.407491983275
11140570.0,10557.406932048985
11140580.0,9807.554664613202
11140590.0,22157.462680698925
11140605.0,16571.28108861708
11140615.0,24149.9382178644
11140625.0,15631.590264381719
11140635.0,17546.699129471323
11140645.0,11825.185861299282
11140650.0,11616.40082739546
11140665.0,10705.58779827061
11140670.0,14057.092182903229
11140680.0,8824.881473873955
11170510.0,14803.333384619176
11170520.0,11556.410830353945
11170530.0,14387.981518085422
11170555.0,24325.914113348266
11170560.0,20893.099806845876
11170570.0,13753.031555277776
11170580.0,10606.537043557348
11170590.0,9680.521430903525
11170625.0,41985.398472092296
11170630.0,28971.736207428316
11170640.0,8137.21825532258
11170650.0,10066.489968642474
11170660.0,12728.547199650537
11170685.0,34487.60700218339
11170690.0,17215.055161545697
11170700.0,11074.452951689067
11200520.0,16585.976030887097
11200535.0,27393.54543136201
11200540.0,24606.681429487755
11200550.0,24017.5412749089
11200560.0,21057.9050047506
11200570.0,19381.79594813321
11200580.0,12888.489471936977
11200590.0,15327.703844492236
11200615.0,22153.161483715652
11200620.0,12514.48115375299
11200645.0,28494.88559187276
11200650.0,19000.440834773
11200660.0,21099.1924983647
11200670.0,20124.176481969833
11200690.0,29536.07828818996
11200720.0,10843.909337882316
11200790.0,17964.49177960723
11215710.0,36047.97405772252
11215730.0,18914.841358839607
11215740.0,16845.641505258365
11215750.0,18883.669161621863
11215760.0,16595.513481430706
11215770.0,26808.288661751794
11215780.0,16089.147622340204
11215810.0,39859.60082101105
11215820.0,25942.36561348417
11215830.0,21759.24272442055
11215840.0,24801.41672003435
11215847.0,27735.911077749406
11215850.0,24043.597325262846
11215860.0,24815.399677066907
11215870.0,33310.51304643817
11230536.0,42626.344163313915
11230545.0,31088.18222760454
11230560.0,33563.972936478494
11230570.0,16837.488924914876
11230600.0,24839.252370594386
11230610.0,25486.455564117383
11230650.0,36328.207121190266
11230660.0,28034.330296944445
11230705.0,20096.08187750747
11230710.0,21077.99227682049
11230720.0,17218.371804898445
11230730.0,21292.58758993578
11230740.0,23460.947902450716
11230750.0,16394.415661701016
11260520.0,23308.056137662785
11260540.0,17776.541669671446
11260550.0,9962.27943338411
11260565.0,31250.087767135603
11260570.0,20811.939110728792
11260575.0,21268.51241537336
11260580.0,19857.1633938859
11260590.0,23926.62120227897
11260600.0,17381.844078975508
11260610.0,28128.56169155765
11260620.0,26381.551371263442
11260630.0,18803.319734699824
11260655.0,32758.226825954294
11260660.0,13329.065744127838
11260680.0,34979.38613102449
11260690.0,19218.663065113502
11290525.0,21318.50346388142
11290555.0,25941.98906878136
11290575.0,24714.494718960574
11290580.0,14677.490983098867
11290590.0,15570.164575307646
11290600.0,26383.948243206396
11290610.0,17106.176155648147
11290620.0,15898.52595861559
11290630.0,21263.255359817802
11290640.0,16588.183266378433
11290650.0,19440.353995664573
11290660.0,35590.327981385904
11290685.0,18269.533668648448
11290705.0,38922.12587464158
11290715.0,22525.01436626344
11290725.0,26930.95513363501
11290760.0,17090.94255313919
11290770.0,14842.063354943248
11290780.0,9428.584786451613
11290810.0,29178.10131423686
11305534.0,24274.684869525092
11305535.0,23924.018274753584
11305545.0,35377.078839731184
11305555.0,28576.71854493429
11305575.0,24361.787397813623
11305590.0,20065.68484062575
11305600.0,12904.296898602151
11305606.0,16636.24927166368
11305610.0,18535.411767644862
11305620.0,21520.233367980883
11305630.0,28837.615849663973
11305645.0,19445.7245636365
11305660.0,30318.040094390682
11320511.0,23440.62754694444
11320512.0,27041.988683956093
11320513.0,14038.298838000295
11320514.0,30750.3075309304
11320515.0,22647.239115495817
11320521.0,17969.69790497312
11320522.0,19249.548095088114
11320660.0,17587.664151143963
11320670.0,18910.68405594086
11320680.0,15768.354500558542
11320681.0,14364.810448627535
11320690.0,24935.982004893962
11320700.0,12503.984869988053
11320710.0,23558.95728147401
11350560.0,26754.942746405315
11350570.0,20980.23634131571
11350580.0,26700.964533694743
11350595.0,45500.56645271804
11350600.0,43669.7788961604
11350611.0,26816.784577123657
11350612.0,16987.85400507467
11350619.0,24012.354036169356
11350621.0,26095.856051781662
11350624.0,20283.045166226108
11350625.0,36735.42246858423
11350630.0,40889.18414365293
11350640.0,31649.748504514635
11350665.0,21874.78106427121
11350670.0,22830.182514175624
11350695.0,43213.9691529301
11350700.0,18887.273276382915
11350710.0,18508.05378015382
11350720.0,17093.02580170251
11380510.0,34507.88282309588
11380520.0,37104.56029758364
11380530.0,22688.36332701165
11380551.0,26165.0775619997
11380552.0,25164.707557353646
11380560.0,27111.351883485662
11380570.0,36190.973576816
11380580.0,24870.189991796597
11380590.0,17966.751371805556
11380600.0,24547.938144641575
11380625.0,44124.72652088411
11380631.0,24176.815794568392
11380632.0,16258.137191726404
11380640.0,13480.16269289725
11380650.0,11008.412651357527
11380690.0,64229.499372332735
11410520.0,18079.41687364546
11410555.0,35254.788717035546
11410565.0,35356.70718283901
11410585.0,51392.58145342892
11410615.0,40711.85188746266
11410620.0,26074.7646042503
11410640.0,17306.368987641876
11410655.0,9541.538221238052
