지역,행정동코드,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,2018년2분기주거인구,2018년2분기직장인구,면적,직장인구,주거인구,대규모점포 인허가 수,편의점 수
종로구,11110.0,"75,247","78,533",35775.0,13792.0,10877.0,9649.0,2631.0,9086.0,13394.0,28272.0,22811.0,25576.0,27022.0,18602.0,12578.0,5080.0,920.0,64.09329628,130.0923169,2391.0,311050.7297,153247.0714,21.0,331.0
중구,11140.0,"62,260","63,772",29298.0,12583.0,9323.0,7407.0,1834.0,8210.0,8481.0,21156.0,22364.0,20815.0,22797.0,16510.0,10154.0,4067.0,702.0,120.12268600000002,508.09570360000004,996.0,506063.3208,119642.1953,62.0,432.0
용산구,11170.0,"111,078","118,599",50177.0,22039.0,17054.0,14308.0,3662.0,16486.0,18622.0,35102.0,42623.0,41085.0,38125.0,26902.0,17082.0,7551.0,1339.0,105.60813600000002,81.65027458,2187.0,178569.1505,230964.9934,22.0,295.0
성동구,11200.0,"151,571","156,495",53571.0,28958.0,24842.0,21743.0,4909.0,23700.0,23932.0,49540.0,54687.0,51194.0,50685.0,33752.0,20078.0,7298.0,975.0,183.73419950000002,113.9962223,1686.0,192197.6308,309775.8604,22.0,325.0
광진구,11215.0,"173,216","182,532",69240.0,32155.0,27275.0,25203.0,5652.0,24198.0,30542.0,66086.0,62962.0,59112.0,59588.0,38513.0,21023.0,7263.0,1048.0,198.7435092,45.17185175,1706.0,77063.17908999999,339056.4267,27.0,409.0
동대문구,11230.0,"174,128","174,775",71395.0,32053.0,26330.0,23082.0,5962.0,23493.0,28328.0,63190.0,54565.0,56010.0,57093.0,43274.0,27286.0,9655.0,1376.0,236.5285892,63.48954284,1422.0,90282.12992,336343.6538,34.0,394.0
중랑구,11260.0,"201,803","203,748",70619.0,39937.0,32822.0,27785.0,6681.0,27384.0,31583.0,59037.0,63935.0,64018.0,73167.0,51598.0,28631.0,9460.0,1316.0,219.48988849999998,29.07266356,1850.0,53784.42759,406056.2937,16.0,296.0
성북구,11290.0,"214,430","225,842",69919.0,38423.0,34984.0,32779.0,7958.0,32885.0,41676.0,70369.0,65156.0,76185.0,69231.0,50331.0,32258.0,11756.0,1655.0,177.0590911,27.14292139,2457.0,66690.15786,435034.1868,42.0,361.0
강북구,11305.0,"157,769","164,616",56220.0,32679.0,26062.0,21213.0,5418.0,19782.0,26236.0,45182.0,45316.0,52680.0,55231.0,42576.0,28390.0,9230.0,1215.0,135.8295018,15.36911712,2360.0,36271.1164,320557.6242,27.0,267.0
도봉구,11320.0,"167,465","174,463",41897.0,32200.0,29175.0,26049.0,6321.0,22979.0,30694.0,47166.0,46759.0,55021.0,60045.0,44341.0,25910.0,9645.0,1397.0,162.42565369999997,19.00863647,2066.0,39271.84295,335571.4005,15.0,219.0
노원구,11350.0,"266,826","282,539",66145.0,47105.0,45114.0,46634.0,10089.0,39696.0,62573.0,78398.0,73725.0,96722.0,89995.0,61019.0,34730.0,14060.0,2019.0,152.5491481,19.28915219,3544.0,68360.75536,540634.1809,25.0,350.0
은평구,11380.0,"234,905","249,737",71730.0,45944.0,39547.0,34658.0,8907.0,34420.0,44037.0,66440.0,73297.0,82585.0,78522.0,57989.0,36785.0,12810.0,1782.0,154.294837,16.50773736,2971.0,49044.4877,458409.9607,34.0,357.0
서대문구,11410.0,"150,131","161,149",55942.0,28682.0,24323.0,21739.0,5301.0,21687.0,26972.0,54771.0,47422.0,51325.0,50420.0,35535.0,24200.0,9320.0,1373.0,177.4311395,42.84850769,1763.0,75541.91906,312811.0989,12.0,294.0
마포구,11440.0,"178,430","196,261",73510.0,35075.0,28694.0,25680.0,6052.0,28490.0,31755.0,63553.0,69449.0,65607.0,54749.0,36785.0,24033.0,9494.0,1297.0,151.03589680000002,89.54659496,2385.0,213568.629,360220.6139,32.0,555.0
양천구,11470.0,"230,322","236,829",47672.0,36099.0,38459.0,41850.0,9527.0,35999.0,55959.0,63156.0,64643.0,85223.0,79036.0,50933.0,25135.0,9369.0,1417.0,256.7378595,39.76701234,1741.0,69234.36847999999,446980.6134,26.0,316.0
강서구,11500.0,"291,966","308,291",94180.0,56202.0,48806.0,43863.0,10574.0,48407.0,50759.0,88807.0,109409.0,96999.0,93296.0,69489.0,35029.0,12599.0,1982.0,138.5658503,45.14950017,4144.0,187099.5287,574216.8836,35.0,548.0
구로구,11530.0,"202,016","205,219",61659.0,37733.0,32818.0,30040.0,7357.0,34397.0,33831.0,58183.0,73275.0,73205.0,75536.0,53077.0,28335.0,9145.0,1166.0,199.973347,85.56773259,2012.0,172162.27800000002,402346.3742,51.0,357.0
금천구,11545.0,"118,530","114,733",45252.0,22512.0,18047.0,15441.0,3836.0,16235.0,17816.0,36406.0,39551.0,40714.0,48826.0,30711.0,16515.0,5103.0,723.0,181.38102759999998,145.3565457,1302.0,189254.2225,236158.0979,29.0,255.0
영등포구,11560.0,"183,888","185,115",74245.0,33751.0,28410.0,25130.0,5927.0,29137.0,27818.0,57864.0,72586.0,65467.0,69657.0,45526.0,25496.0,9408.0,1304.0,169.16563430000002,224.5805935,2455.0,551345.3570000001,415301.6322,44.0,507.0
동작구,11590.0,"192,296","202,492",70744.0,35811.0,30873.0,28177.0,6752.0,28928.0,31395.0,68829.0,68085.0,63709.0,61777.0,45540.0,27559.0,9779.0,1417.0,224.4027176,41.1396505,1635.0,67263.32857,366898.4433,20.0,344.0
관악구,11620.0,"253,600","250,448",138902.0,48098.0,34454.0,28885.0,7057.0,29295.0,33968.0,106341.0,95516.0,77292.0,75932.0,56985.0,34540.0,10386.0,1418.0,168.7227585,23.07609318,2957.0,68236.00752999999,498913.1969,26.0,471.0
서초구,11650.0,"210,596","229,248",56709.0,34368.0,34542.0,36849.0,8910.0,38795.0,47642.0,58922.0,71713.0,82212.0,63517.0,45665.0,25245.0,8481.0,1611.0,91.11129145,102.9406615,4698.0,483615.2277,428040.8472,33.0,558.0
강남구,11680.0,"261,815","285,137",87621.0,42154.0,41293.0,44619.0,10280.0,40487.0,61361.0,78880.0,90873.0,101432.0,80184.0,56324.0,30023.0,10132.0,1946.0,141.254335,211.3094288,3950.0,834672.2438,557954.6233,55.0,991.0
송파구,11710.0,"323,741","342,698",88247.0,54441.0,54376.0,55211.0,12419.0,54866.0,64330.0,96170.0,116419.0,112695.0,104890.0,74671.0,34717.0,12059.0,2109.0,196.78941730000003,91.57891524,3387.0,310177.7859,666525.7564,46.0,646.0
